Program,Service,Activity,Expense/Revenue,Category Name,Sub-Category Name,Commitment item,Amount,Year
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Other Expenditures,Miscellaneous Expenditures,Bank Service Charges,"34,644.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Other Expenditures,Miscellaneous Expenditures,Finance Exp General,"8,972.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Salaries,Permanent Salaries,Full Time Reg Py Sap,"4,206,937.05",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Contracted Services,Advertising & Promo,"6,500.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Postage,Postage,"1,085.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Professtional & Consulting,Prof Srv - Audit,"80,475.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Repair & Maintenance,Rep & Maint - Other,"420,929.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Services,Member Fees,"1,200.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Services,Other Expenses,"1,215,617.99",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Services,Other Services,"34,000.00",2024
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Telecommnuncation,Telephone,"47,391.70",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Benefits,Allowances,Benefits To Be Dist,"2,019,248.27",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Equipment,Computes,Comp - Software,"6,794.60",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Equipment,Equipment,General Equipment,"5,312.50",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Commodities,Bldg & Renovatn Sups,"21,000.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Construction Materials,Gravel,"14,500.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Energy,Gasoline,"3,407.99",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Energy,Hydro,"223,167.16",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Energy,Natural Gas,"96,927.37",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Energy,Water,"29,907.71",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Food & Beverage,Snckbar/Giftshop Sup,"1,700.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Materials,Janitorial Supplies,"43,805.17",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Office Supplies,Stationery And Off,"80,616.35",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Supplies,Misc Materials,"138,001.69",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Other Expenditures,Miscellaneous Expenditures,Bank Service Charges,"1,000.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Other Expenditures,Miscellaneous Expenditures,Finance Exp General,500.00,2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Salaries,Permanent Salaries,Full Time Reg Py Sap,"7,022,360.28",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Contracted Services,Advertising & Promo,"7,221.40",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Contracted Services,C. Serv - Secur Sys,"2,000.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Contracted Services,Comp Hardware Main,"20,200.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Contracted Services,Contr Srv - General,"456,946.34",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Contracted Services,Contr Srv -Office Eq,"9,103.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Postage,Postage,"23,736.91",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Professtional & Consulting,Prof & Tech - IT,"68,120.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Professtional & Consulting,Prof Srv - Audit,"78,050.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Rentals,Rental - Other,"154,962.08",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Services,Misc,"1,110.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Services,Other Expenses,"474,912.80",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Services,Other Prof/Tech Serv,"19,974.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Services,Services & Rents-Gen,"356,343.98",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Telecommnuncation,Cellular Phones,"3,685.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Telecommnuncation,Internet,"5,258.00",2024
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Telecommnuncation,Telephone,"129,843.59",2024
Association of Community Centres,Strategic Partnership & Resource Development,Not assigned,Expenses,Service And Rent,Professtional & Consulting,Prof & Tech - IT,"42,500.00",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,Comprehensive Med,"165,020.00",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,CPP,"176,352.00",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,Dental Plan,"95,862.00",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,EI,"54,384.00",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,Life Insurance,"41,858.03",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,LTD,"90,535.68",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,OMERS Pension,"691,512.37",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,Ont Health Tax,"114,639.34",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Equipment,Computes,Comp - Hardware,"4,526.07",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Equipment,Computes,Comp - Software,"30,224.68",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Materials & Supplies,Office Supplies,Books & Magazines,200.00,2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Materials & Supplies,Office Supplies,Other Office Materl,"1,000.00",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Materials & Supplies,Office Supplies,Phot Fax & Print Sup,"1,500.00",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Materials & Supplies,Office Supplies,Stationery And Off,"3,000.00",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Materials & Supplies,Supplies,Misc Materials,500.00,2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Salaries,Permanent Salaries,Full Time Reg Py Sap,"5,878,939.54",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Business Travel,Bus Trav - Accom,"2,259.71",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Business Travel,Bus Trav - Air Trans,"1,129.85",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Business Travel,Bus Trav - Km,508.44,2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Business Travel,Bus Trav - Other Exp,564.92,2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Business Travel,Bustrav - Gr. Trans,282.47,2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Conference,Conf/Sem - Other Exp,"1,694.77",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Conference,Conf/Sem - Regist Fe,"2,259.71",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Conference,Conf/Semin - Accomd,"2,033.72",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Conference,Conf/Semin -Air/Rai,"1,299.32",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Conference,Conf/Semin -Grd Tran,564.92,2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Contracted Services,Comp Software Main,"17,813.00",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Contracted Services,Contr Srv - General,"20,000.00",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Contracted Services,Managed Print Charge,"3,500.00",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,General Travel,Metrage -Op (Intown),564.92,2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,General Travel,Parking Exp (Intown),564.92,2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Meetings,Bus. Meeting Exp,225.97,2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Professtional & Consulting,Prof Srv - Audit,"291,504.43",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Services,Cloud Computing Cost,"176,780.70",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Services,Member Fees,"44,971.31",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Services,Online Services Fees,"1,129.85",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Telecommnuncation,Cellular Phones,"6,500.00",2024
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Training,Train/Dev - External,"64,935.89",2024
Capital & Corporate Financing,Corporate Accounts,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Cont To Res Fnds,"287,038,973.00",2024
Capital & Corporate Financing,Corporate Accounts,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Cont To Reserves,"21,296,645.00",2024
Capital & Corporate Financing,Corporate Accounts,Not assigned,Expenses,Other Expenditures,Debt Charges,Debt Charges,"906,698,573.75",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Allowances,Benefits To Be Dist,"1,709,705.75",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,Comprehensive Med,"3,620,140.68",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,CPP,"2,866,911.84",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,Dental Plan,"1,776,002.34",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,EI,"952,982.28",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,EI Rebate,"10,029.20",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,Life Insurance,"392,825.88",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,LTD,"1,581,962.76",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,OMERS Pension,"5,513,951.03",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,Ont Health Tax,"1,102,432.93",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,WSIB Admin,"170,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,"WSIB, Med & Pen","375,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contr-Insce Rf,"1,640,256.18",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contr-Sick Leave Rf,"143,438.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Equipment,Computes,Comp - Hardware,"48,300.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Equipment,Computes,Comp - Software,"384,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Equipment,Equipment,General Equipment,"737,600.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Equipment,Equipment,M & E - Kitchen,"40,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Copying,"46,200.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-EMS,"20,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Fac Maint Svcs,"231,200.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Other Services,"400,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Postage & Courie,"24,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Printing,"28,900.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Rec & Culture,"150,900.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Rental-City Fac,"101,100.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Telecom & Netwk,"157,700.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-User Hdwe & Op S,"148,344.28",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Energy,Hydro,"148,400.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Energy,Natural Gas,"129,353.08",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Energy,Water,"84,520.22",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Food & Beverage,Food & Beverages,"276,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Materials,Footwear,400.00,2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Materials,Janitorial Supplies,"88,800.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Materials,Kitchen Supplies,"103,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Materials,Protective Clothing,"30,500.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Materials,Rec & Educt'n Suppls,"634,500.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Materials,Uniforms,"3,900.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Medical Supplies,Med & Den Supplies,"31,700.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Office Supplies,Books & Magazines,810.20,2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Office Supplies,Health-Safety Sup,"250,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Office Supplies,Other Office Materl,101.00,2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Office Supplies,Phot Fax & Print Sup,"25,900.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Office Supplies,Stationery And Off,"113,300.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Supplies,Misc Materials,"9,650.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Other Expenditures,Miscellaneous Expenditures,Bank Service Charges,"6,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Salaries,Disability,WCB Award,"131,243.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Salaries,Part Time Salaries,P/T - Reg Pay Sap,"9,775,329.96",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Salaries,Part Time Salaries,PWE,"555,049.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Salaries,Part Time Salaries,Vacation Pay (P/T),"586,519.56",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Salaries,Permanent Salaries,Full Time Reg Py Sap,"56,535,823.26",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Salaries,Permanent Salaries,Perm - Overtime Sap,"493,633.30",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Salaries,Vacancy Adjustments,Vacancy Adjustments,"(960,804.58)",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Business Travel,Bus Trav - Pub Trans,"8,550.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Conference,Conf/Sem - Regist Fe,"14,500.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Advertising & Promo,500.00,2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,C. Serv - Secur Sys,"19,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,C. Srv - Eleva Devic,"51,600.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,C. Srv - Fire Alarm,"19,400.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,C. Srv - Locking Sys,"39,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,C. Srv - Salt & Plow,"142,900.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,C. Svcs - Glass Rep,"11,700.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Contr Srv - Building,"1,233,500.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Contr Srv - Elect,"64,100.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Contr Srv - Landscpg,"136,900.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Contr Srv - Plumbing,"183,610.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Contr Srv #Appliance,"50,700.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Contr Srv- Heat& A/C,"153,800.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Contr Srv-Waste Disp,"30,400.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Day Care Services,"342,703,800.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Laundry Services,"17,500.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Managed Print Charge,"45,200.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Rental-Oper. Costs,"381,300.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,General Travel,Metrage -Op (Intown),"82,100.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,General Travel,Parking Exp (Intown),"26,400.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Meetings,Bus. Meeting Exp,"6,400.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Professtional & Consulting,Prof Srv - Architec,"50,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Rentals,Rental Of Prop.,"70,300.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Rentals,"Rental, Office","1,426,240.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Services,Catering Services,"1,717,400.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Services,Clothing,150.00,2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Services,Member Fees,"21,700.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Services,Other Expenses,"14,500.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Services,Other Prof/Tech Serv,"201,800.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Services,Permit & Lic. Fees,"12,000.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Services,Tech Srv Transl/Int,"17,400.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Telecommnuncation,Cellular Phones,"113,900.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Telecommnuncation,Lan Extension - Hdsl,"121,300.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Telecommnuncation,Network Equipment,"2,400.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Training,Train/Dev - External,"127,500.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Training,Tuition Fees,"7,500.00",2024
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Zero Based Consulting,Consult-Technical,"75,000.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Benefits,Allowances,Benefits To Be Dist,0.01,2024
Children's Services,Child Care System Management,Not assigned,Expenses,Benefits,Benefits,Comprehensive Med,"496,322.28",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Benefits,Benefits,CPP,"427,664.16",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Benefits,Benefits,Dental Plan,"259,353.66",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Benefits,Benefits,EI,"142,632.12",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Benefits,Benefits,EI Rebate,"4,443.36",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Benefits,Benefits,Life Insurance,"72,317.39",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Benefits,Benefits,LTD,"231,035.23",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Benefits,Benefits,OMERS Pension,"1,100,211.90",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Benefits,Benefits,Ont Health Tax,"203,340.46",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Cont To Res Fnds,"320,000.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contr-Sick Leave Rf,"18,538.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Equipment,Computes,Comp - Hardware,"12,100.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Equipment,Computes,Comp - Software,"96,000.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Equipment,Furn & Fixtures,Furnishings,"50,000.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Copying,"12,800.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Int Audit,"14,500.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Legal Services,"10,000.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Printing,"8,100.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-Telecom & Netwk,"12,100.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Inter-Divisional Charges,Inter-Divisional Charges,IDC-User Hdwe & Op S,"37,086.07",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Materials & Supplies,Energy,Natural Gas,"3,321.11",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Materials & Supplies,Materials,Footwear,100.00,2024
Children's Services,Child Care System Management,Not assigned,Expenses,Materials & Supplies,Materials,Rec & Educt'n Suppls,600.00,2024
Children's Services,Child Care System Management,Not assigned,Expenses,Materials & Supplies,Office Supplies,Books & Magazines,650.00,2024
Children's Services,Child Care System Management,Not assigned,Expenses,Materials & Supplies,Office Supplies,Phot Fax & Print Sup,"2,800.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Materials & Supplies,Office Supplies,Stationery And Off,"12,500.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Materials & Supplies,Supplies,Misc Materials,"3,950.00",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Salaries,Permanent Salaries,Full Time Reg Py Sap,"10,427,650.65",2024
Children's Services,Child Care System Management,Not assigned,Expenses,Salaries,Permanent Salaries,Perm - Overtime Sap,"17,743.70",2024
