Program,Service,Activity,Expense/Revenue,Category Name,Sub-Category Name,Commitment item,Amount,Year
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contr To Vehicle & Equip Res - Lump Sum,"125,427.02",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Contracted Services,Contracted Services - General,0.00,
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contrib.To Reserve Funds,"82,960.00",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Contribution To Capital,Contribution To Capital,Contribution To Capital,"536,600.00",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contribution To Reserves,0.00,
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contributions To Insurance Reserve Fund,0.00,
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contributions To Sick Leave Reserve Fund,"5,000.00",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Other Expenditures,Miscellaneous Expenditures,Financial Expenses General,"8,972.00",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Benefits,Allowances,Fringe Benefits To Be Distributed,"1,069,495.30",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Salaries,Permanent Salaries,Full Time - Regular Pay Sap,"4,140,516.41",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Equipment,Equipment,General Equipment,"56,450.00",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Energy,Hydro,"1,509,522.38",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Medical Supplies,Medical & Dental Supplies,"12,000.00",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Services,Membership Fees,900.00,
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Supplies,Miscellaneous Materials & Supplies,"120,669.91",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Energy,Natural Gas,"279,865.29",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Services,Other Expenses,"971,756.28",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Services,Other Services,"20,340.00",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Salaries,Permanent Salaries,Permanent - Vacation Pay,0.00,
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Postage,Postage,924.92,
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Professtional & Consulting,Professional Services - Audit,"25,052.56",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Repair & Maintenance,Repairs And Maintenance - Other,"218,580.00",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Service And Rent,Telecommnuncation,Telephone,"44,550.94",
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Benefits,Benefits,WSIB Administration Charges,0.45,
Arena Boards of Management,Community Ice & Facility Booking,Not assigned,Expenses,Materials & Supplies,Energy,Water,"173,098.03",
Association of Community Centres,Public Space - Community Access,Not assigned,Expenses,Service And Rent,Contracted Services,Contracted Services - General,0.00,
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Contracted Services,Advertising & Promotion,"6,921.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Other Expenditures,Miscellaneous Expenditures,Bank Service Charges,"1,000.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Commodities,Bldg Repairs & Renovation Supplies,"21,000.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Telecommnuncation,Cellular Telephones,"1,404.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Contracted Services,Computer Hardware Maint & Support Servs,"10,200.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Equipment,Computes,Computers - Software,"4,700.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Food & Beverage,"Conc, Snackbar/Giftshop Food Items&Sup","3,300.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Contracted Services,Contr Serv - Security Sys Instal & Maint,"1,000.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Contracted Services,Contracted Services - General,"231,913.70",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Contracted Services,Contracted Services - Office Equipment,"8,603.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contributions To Insurance Reserve Fund,0.00,
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Other Expenditures,Miscellaneous Expenditures,Financial Expenses General,500.00,
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Benefits,Allowances,Fringe Benefits To Be Distributed,"1,785,282.83",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Salaries,Permanent Salaries,Full Time - Regular Pay Sap,"6,109,971.65",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Energy,Gasoline,"2,644.73",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Equipment,Equipment,General Equipment,"4,301.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Construction Materials,Gravel,"14,300.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Energy,Hydro,"201,547.25",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Telecommnuncation,Internet,"3,294.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Materials,Janitorial Supplies,"31,134.20",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Supplies,Miscellaneous Materials & Supplies,"98,497.56",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Energy,Natural Gas,"75,130.65",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Services,Other Expenses,"272,431.66",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Services,Other Professional And Technical Service,"19,974.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Postage,Postage,"20,883.76",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Professtional & Consulting,Professional & Technical Services - IT,"48,120.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Professtional & Consulting,Professional Services - Audit,"19,610.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Rentals,Rental - Other,"125,040.08",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Services,Services And Rents - General,"154,116.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Office Supplies,Stationery And Office Supplies,"60,291.74",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Service And Rent,Telecommnuncation,Telephone,"95,546.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Salaries,Temporary Salaries,Temporary - Regular Pay Sap,"72,000.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Benefits,Allowances,Unallocated Benefits-Non-Permanent Staff,"23,000.00",
Association of Community Centres,Social Economic & Neighbourhood Development,Not assigned,Expenses,Materials & Supplies,Energy,Water,"37,453.27",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Materials & Supplies,Office Supplies,Book & Magazine Subscriptions,204.02,
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Meetings,Business Meeting Expenses,208.47,
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Business Travel,Business Trav - Air Transportation,"1,042.34",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Business Travel,Business Trav - Ground Transportation,260.59,
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Business Travel,Business Trav - Kilometrage,469.06,
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Business Travel,Business Trav - Other Expenses,521.17,
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Business Travel,Business Travel - Accommodation,"2,084.68",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,Canada Pension Plan,"148,869.36",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Telecommnuncation,Cellular Telephones,"9,279.53",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Services,Cloud Computing Service Cost,"128,561.35",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,Comprehensive Medical,"147,652.44",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Contracted Services,Computer Software Maint & Support Servs,"11,333.64",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Equipment,Computes,Computers - Hardware,"4,175.51",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Equipment,Computes,Computers - Software,"64,544.43",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Conference,Conferences/Seminars - Accommodation,"1,876.21",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Conference,Conferences/Seminars - Air/Rail/Bus Trav,"1,198.68",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Conference,Conferences/Seminars - Ground Transpt,521.17,
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Conference,Conferences/Seminars - Other Expenses,"1,563.51",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Conference,Conferences/Seminars - Registration Fees,"2,084.68",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contributions To Insurance Reserve Fund,0.00,
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,Dental Plan,"78,515.04",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,Employment Insurance,"42,518.64",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Allowances,Fringe Benefits To Be Distributed,"67,993.20",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Salaries,Permanent Salaries,Full Time - Regular Pay Sap,"5,157,695.40",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,Group Life Insurance,"37,263.88",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,Long Term Disability,"104,271.50",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Contracted Services,Managed Print Charges,"5,211.69",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Services,Membership Fees,"41,488.15",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,General Travel,Metrage-Operational (Intown),521.17,
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Materials & Supplies,Supplies,Miscellaneous Materials & Supplies,"1,042.34",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Services,Online Services Fees,"1,042.34",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,Ontario Health Tax,"94,003.47",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Materials & Supplies,Office Supplies,Other Office Material &Minor Furnishing,"2,040.20",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,General Travel,Parking Expenses (Intown),521.17,
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Benefits,Benefits,Pension Plan (OMERS),"557,565.34",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Salaries,Permanent Salaries,Permanent - Alternate Rates,"305,647.99",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Salaries,Permanent Salaries,Permanent - Vacation Pay,"71,000.00",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Materials & Supplies,Office Supplies,"Photocopy, Fax And Printer Supplies","1,530.15",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Professtional & Consulting,Professional Services - Audit,"569,386.93",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Materials & Supplies,Office Supplies,Stationery And Office Supplies,"3,060.30",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Training,Training & Development - External,"57,821.73",
Auditor General's Office,Auditor General's Office,Not assigned,Expenses,Service And Rent,Training,Tuition Fees,"2,084.68",
Capital & Corporate Financing,Corporate Accounts,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contrib.To Reserve Funds,"1,000,000.00",
Capital & Corporate Financing,Corporate Accounts,Not assigned,Expenses,Contribution To Capital,Contribution To Capital,Contribution To Capital,"341,881,933.69",
Capital & Corporate Financing,Corporate Accounts,Not assigned,Expenses,Contribution To Reserves/Reserve Funds,Contribution To Reserves/Reserve Funds,Contribution To Reserves,"21,296,645.00",
Capital & Corporate Financing,Corporate Accounts,Not assigned,Expenses,Other Expenditures,Debt Charges,Debt Charges,"730,121,230.35",
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Advertising & Promotion,500.00,
Children's Services,Child Care Delivery,Not assigned,Expenses,Other Expenditures,Miscellaneous Expenditures,Bank Service Charges,"6,000.00",
Children's Services,Child Care Delivery,Not assigned,Expenses,Materials & Supplies,Office Supplies,Book & Magazine Subscriptions,980.80,
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Meetings,Business Meeting Expenses,"6,400.00",
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Business Travel,Business Trav - Air Transportation,0.00,
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Business Travel,Business Trav - Public Transit,"8,550.00",
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,Canada Pension Plan,"2,568,839.28",
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Services,Catering Services,"1,870,100.00",
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Telecommnuncation,Cellular Telephones,"115,600.00",
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Services,Clothing Allowance,"1,050.00",
Children's Services,Child Care Delivery,Not assigned,Expenses,Benefits,Benefits,Comprehensive Medical,"3,285,322.67",
Children's Services,Child Care Delivery,Not assigned,Expenses,Equipment,Computes,Computers - Hardware,"92,000.00",
Children's Services,Child Care Delivery,Not assigned,Expenses,Equipment,Computes,Computers - Software,"284,000.00",
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Conference,Conferences/Seminars - Registration Fees,"14,500.00",
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Zero Based Consulting,Consulting Svcs-Technical,"75,000.00",
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Contr Serv - Security Sys Instal & Maint,"21,500.00",
Children's Services,Child Care Delivery,Not assigned,Expenses,Service And Rent,Contracted Services,Contracted Services - Buildings,"1,300,800.00",
